"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"Traf3ip2",6.57345931381347,6.6354686897183,6.53769891268293,7.76391982443829,7.61576043613322,7.67507768929076,7.38959947942788,7.52392020202256,7.98254685341046,6.77469169902265,6.81128787101784,6.82535157822964
"Wdr92",9.34215489943994,9.71133060363638,9.67256500412331,10.4944294428528,10.2873333546919,9.88728213790634,10.7305904412821,11.0906780426579,10.4332388313409,10.7981520572046,10.3148606125051,9.70426374454291
"Actc1",7.8923348465671,8.79457118129262,7.62425996988747,5.65075681675228,6.87555875016804,5.46552227144263,6.76628668736782,7.19924713890105,6.15278445826129,7.87929842337379,8.85871721204455,8.45125948713622
"Cfd",7.09988353277174,7.00477301319409,7.11737103123953,8.26801961453075,8.01800215577822,9.61227627088627,8.08735227212104,8.26905198560388,9.06130463619321,7.38320074972011,7.33661006131265,7.54223868036055
"Aldh1a1",8.69256016748061,9.35043315507183,9.94453914677158,10.2189268829582,10.1191313610311,10.8463950062225,9.84732943181818,10.1784619432643,10.6694999292972,9.67064989209131,9.35041757691996,9.65519781249318
"Serpinh1",7.8805098993567,8.22196578676552,8.04120865739221,6.82535829529898,6.90356863610737,7.14477535188026,7.30270314737738,7.15127331575005,7.52308231529822,7.53395237123375,8.05169814098039,7.87892547199668
"Cebpd",7.28805399750485,7.78550074923911,9.20382347676141,11.0887098531999,10.6495771834536,10.6692618126529,10.2233229548003,9.9313814335967,10.5851174472316,8.04845035881269,6.9878468817593,8.17869662886929
"Col3a1",5.58955023426671,5.39934426139224,5.95379805957378,4.16511076324296,4.51737919193881,4.5640685491298,4.987955106553,4.12136108064346,5.05663602849932,5.20563122555706,5.34405281676907,6.01584928425028
"Col1a1",8.22568626058347,8.40360470192699,8.16463303436585,6.97569890578553,7.38055101765501,6.84889742207162,7.6702215093561,7.31424598595035,7.43499523030948,8.27479920601396,8.92858874860966,8.71883365639219
"Cox7a1",9.84546863191308,10.1480653000849,10.7104484340506,8.55631547136649,8.68505761962829,9.86758896697935,9.5303807777587,9.36387830153196,10.0617111083656,10.0737485246277,10.1332212906212,10.5392868311297
"Cpe",10.1672188913718,10.5727670487323,10.762457151542,8.8168996258311,9.53770066838109,10.0458557107564,9.41943447834008,9.6643404303317,9.68755376750669,10.2262404144429,10.089674967683,10.6269632302299
"Csrp3",9.3891436690503,9.87373164394134,9.81500599626147,11.4747261738444,11.3588374748062,10.8356380755353,10.1429197201931,9.90414726967335,10.9218100855993,9.46029171280683,9.7672246588706,9.91792591344718
"Ddx3x",6.64482219225622,7.18763586794524,7.79220333168691,8.12396239034897,7.93641659281583,8.75340897171477,7.33835207432776,7.84567431871956,8.2542293960472,6.78542246957393,7.0499359862971,7.5200475237225
"Eif4ebp1",7.37194550502951,7.71987967775091,8.11749189420907,9.82563607510362,9.21551916381129,9.19514150742681,9.03082894683656,8.9572329235046,9.42951927831981,7.75178819671427,7.39761048749261,8.01290627197801
"Sesn1",6.77530966777921,7.11604304915388,7.14549338907466,9.33407468899687,9.5006480364889,9.16917958244192,8.73988189094933,8.33975669185182,8.97715231193546,7.08731963205418,6.79612084385172,7.11956936836644
"Fkbp5",7.83311694903105,8.07658582506353,8.27848672463099,10.3408490002276,9.97886936536931,9.82166442742751,9.68408157766997,9.73596682370304,10.0729411925675,8.58100708075449,8.80906896045381,7.85836674060065
"G0s2",8.00960633482708,8.55595253769456,7.93212866837283,7.04265708218359,6.97349649778033,7.37193021740963,7.72852011053968,7.5180640758868,7.77660002967323,7.71641637361753,8.822417408715,8.54402171031662
"Slc37a4",9.26508160704329,9.43964848962323,9.36634073531276,7.93833844221245,8.39304390433149,8.45427269066087,8.64296508744293,8.77457957976797,8.45621487173261,9.2191695049343,9.33658836213577,9.42627224743136
"Gdap1",7.52977398303881,7.80730230298952,8.1352147645347,5.31051948221518,5.96844201362085,6.40416834674295,6.41867850105532,5.94307456946859,5.82107206085817,7.18792794830799,7.42051073860449,7.69459721220567
"Glul",6.25186024879169,6.51753178775838,6.84964208080049,7.37060665286954,7.74434592151092,7.76576170386837,7.36046469964102,7.45532978423209,7.76444972620194,6.67820848964987,6.77859086399113,6.56861319847645
"Ighm",8.51896480524508,8.99542364106819,9.28551643827091,5.94860364011755,6.1317254120077,7.3338614962663,7.74328130680494,7.41530266188745,6.57462978555401,8.63469252057281,8.3759337095765,9.15352618887085
"Lgals3",5.00987908159092,4.83788635114664,4.87908511749747,5.7295120912867,7.12545849690948,6.58294213710693,5.55412717738778,5.50634787473304,6.63400414319534,4.95754321591887,4.84379542607454,5.02530997941922
"Mt1",8.12875653169193,8.24171649824298,7.99545014189503,11.2876536821244,10.9094812475649,8.99214702981903,10.4812018029157,9.80128452735251,10.4329246403538,9.58781396568547,8.49963475905037,8.04415989626675
"Mt2",8.34470084601055,8.54285603938206,8.00786790328123,11.875060080224,11.6843540101719,10.2396709410963,11.2132255509226,10.4452490163019,10.988258450445,10.4938162946288,8.86450232926001,7.97159098571377
"Myh6",6.68541503067723,7.68127103029681,6.07726538218547,5.04992593171104,5.44729566014938,5.00412685922099,4.62773851714392,5.21663322304445,5.00066140678888,5.26164755965154,4.86159169172988,4.88773270825859
