"","Healthy_1W","Healthy_3W","Healthy_5W","Diabetic_1W","Diabetic_3W","Diabetic_5W","Trained_diabetic_1W","Trained_diabetic_3W","Trained_diabetic_5W","Trained_1W","Trained_3W","Trained_5W"
"100001_at",5.24930437620096,5.18017374037997,5.1916115324911,5.29914905226955,5.21463526578715,4.99653029766288,5.31226748818046,5.24575001097869,5.27068642057091,5.33921363980758,5.29203753979947,5.11955158677291
"100002_at",6.2263437454954,6.13023498066005,5.88237134487726,6.20524529678949,6.11155296118995,5.9016774598807,6.34987158653301,6.16810454109073,6.07736020297595,6.09637621310332,6.24985572531364,5.99692548784469
"100003_at",12.1632468610407,12.4487775166834,12.4925051169966,12.434741677434,12.3066501878723,12.1168730473511,12.393410256288,12.3058617156119,12.3674048112674,12.4321202867766,12.4026336623597,12.4697069493522
"100004_at",6.0610136275243,5.93601428532316,5.82869496670697,5.88925805476811,5.92791398662636,5.83755368473327,5.96999015854743,5.95238432902891,5.79484830252108,5.94947035523159,5.96747860244535,5.91846675084569
"100005_at",7.4947893126713,7.39240337963158,7.20597842653335,7.38296320431804,7.27898358050311,7.0290365465983,7.12399279681586,7.29086993156196,7.19096959161117,7.45746399794032,7.41563631834335,7.21431492156363
"100006_at",3.76866372035928,3.43735274444532,3.70533451029381,3.36804925258559,3.45361369432131,3.38677933133711,3.37530860814972,3.52718901546658,3.39633776693186,3.37602996264912,3.3859900423901,3.30798159020736
"100007_at",8.31290398275735,8.36480357175131,8.16097694175724,8.26356415240835,8.19704634311799,7.98929776782284,8.27327549153467,8.23714052535103,8.12593861048544,8.29147593790897,8.42688934834472,8.29439990001794
"100009_r_at",3.53038778850083,3.23752779252103,3.11732332521319,3.19818871578146,3.22592570036974,2.90222338041113,3.53994335195013,3.25275452846547,3.01773759602208,3.13730746140016,3.25704046497147,3.14722265908759
"100010_at",6.15884485694533,6.05666784227998,6.00820082776565,6.17100071793938,6.05932704050834,5.91998985775749,6.1662989803318,6.08091055867457,5.98516576259303,6.07830794463176,6.05888055600358,6.03401454337329
"100011_at",5.17780990147157,5.21367881795742,4.8452183933121,5.08963972133451,5.00364935244591,4.86158984031418,5.10835008374054,4.89731379823971,5.00808561247471,5.31336550902703,5.28791466595788,4.72337986427315
"100012_at",8.27950122500343,8.09349059550223,7.93106151816718,8.00831057769884,8.32959824901875,7.8816355708128,8.1117474350025,8.08604263172175,8.07854846869488,8.02888591186248,7.99303487176171,7.98981643023097
"100013_at",6.57738708000598,6.60090213980116,6.6105554211012,6.63151689756275,6.48670785863897,6.31804311737324,6.39588216690628,6.38783325262738,6.29615940739386,6.52116333150293,6.63019019215177,6.50523034398122
"100014_at",6.17600539600968,6.50960360022083,6.62436818854367,6.89237281409271,6.6545979248507,7.04074983950938,6.19373210284043,6.50829791927748,6.92287378634436,6.39403464121302,6.46297005437683,6.62575233025193
