"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","100011_at","Klf3","16599","Kruppel-like factor 3 (basic)",-0.0743192060953763,5.04416629671239,-0.417026564857961,0.683664314337172,0.979976657836918,-6.21159977588204
"2","100017_at","Mybph","53311","myosin binding protein H",-1.10572380052618,7.76529887065996,-4.14633207140244,0.00122082202595957,0.0737919091246672,-0.746281954363905
"3","100022_at","Cish","12700","cytokine inducible SH2-containing protein",-0.403336879685824,8.43405364534645,-2.51897833076341,0.0261206505519399,0.260078694521773,-3.63962807149437
"4","100032_at","Sp1","20683","trans-acting transcription factor 1",0.0218392510815448,6.853628464496,0.0603923631718163,0.952788880037468,0.999300777606841,-6.29981073400802
"5","100037_at","Ddx18","66942","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18",0.414715165121549,5.82371236487202,2.44991423528058,0.029711704281813,0.260743420988384,-3.75798476728535
"6","100041_at","Slc25a39","68066","solute carrier family 25, member 39",-0.0724229778001853,8.54038596867597,-0.546259621735001,0.594411988840258,0.959525584359348,-6.14786855479723
"7","100046_at","Mthfd2","17768","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase",-0.16531176644414,7.17843003402433,-0.848117361735254,0.412167629082535,0.849948529514755,-5.93699705203965
"8","100048_at","Rap1a","109905","RAS-related protein 1a",0.055201072711319,6.53785913980476,0.202850503079038,0.842485183755184,0.99561834158694,-6.28027693832575
"9","100060_i_at","Klk1","16612","kallikrein 1",-0.113366668185932,3.32705405854461,-0.681610807711276,0.507799302239312,0.912445319300366,-6.06376884961505
"10","100064_f_at","Gja1","14609","gap junction protein, alpha 1",0.0275388887735231,7.20279542107537,0.102798453207158,0.919738180305483,0.998870645328866,-6.29620154847405
"11","100068_at","Aldh1a1","11668","aldehyde dehydrogenase family 1, subfamily A1",0.90258627835188,9.87862852545166,2.96862892203007,0.011179749943289,0.199402753086859,-2.84964655455671
"12","100073_at","Eef1akmt1","68043","EEF1A alpha lysine methyltransferase 1",0.069032016056167,6.88177545077065,0.365479222407387,0.720805290401784,0.981604214148544,-6.23238715925451
"13","100079_at","Ndufb9","66218","NADH:ubiquinone oxidoreductase subunit B9",-0.231167098135616,11.276365309145,-1.01771194880754,0.327926448052304,0.790430060306852,-5.78294803843919
"14","100088_at","Ppp1cb","19046","protein phosphatase 1 catalytic subunit beta",0.000268925166329481,9.89743021094536,0.000659965470129938,0.999483740245616,0.999483740245616,-6.30171349899981
"15","100089_at","Ppic","19038","peptidylprolyl isomerase C",-0.607429232075356,6.47816256187132,-2.67012083973239,0.0196691893072041,0.235685346326555,-3.37735908283451
"16","100094_at","Supt5","20924","suppressor of Ty 5, DSIF elongation factor subunit",0.462678439688519,8.60312443892549,2.57119412071337,0.0236881752265862,0.252673869083586,-3.54949346937221
"17","100112_at","Cxcl12","20315","chemokine (C-X-C motif) ligand 12",-0.0879816776522704,7.58876284700392,-0.510269502952995,0.618668461676521,0.964246818481218,-6.16726750201416
"18","100120_at","Nid1","18073","nidogen 1",-0.155798257282673,4.20904486425644,-0.882110787410801,0.394205867567948,0.845936841892852,-5.90807940702321
"19","100123_f_at","Itgb1","16412","integrin beta 1 (fibronectin receptor beta)",0.0254196043789428,11.0745365280283,0.125003762488192,0.902489508085218,0.998870645328866,-6.29356468693743
"20","100126_at","Chrac1","93696","chromatin accessibility complex 1",-0.107160512320736,9.19271938715003,-0.447985989107442,0.661755983005459,0.978530276251027,-6.19783580375437
"21","100151_at","Serinc3","26943","serine incorporator 3",0.393599619546865,10.110142832,2.49978879558927,0.0270740191314009,0.260078694521773,-3.67261564440446
"22","100153_at","Ncam1","17967","neural cell adhesion molecule 1",-0.0853240767234524,7.11725282290164,-0.542961271712681,0.596614606709025,0.959775156686089,-6.14969887531402
"23","100213_f_at","Rpl41","67945","ribosomal protein L41",0.139495569488091,13.4664613463834,0.967105264321991,0.351657482923932,0.820009813946959,-5.83144363400565
"24","100293_at","Cd59b","333883","CD59b antigen",-0.456045797291814,6.95036275678901,-2.88459626434552,0.0131123733313999,0.207903674960444,-2.99920888097737
"25","100302_at","Maff","17133","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",0.152461282337956,6.29148476184374,0.772585401516056,0.453992257364635,0.87650304362451,-5.99760882718931
"26","100307_at","Nfix","18032","nuclear factor I/X",0.121490647693272,6.55788672393899,0.334420619101451,0.743553734755872,0.989585887968671,-6.24361807170587
