"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","100011_at","Klf3","16599","Kruppel-like factor 3 (basic)",0.0196235267867868,5.04416629671239,0.110113285599279,0.914051016113481,0.998896937370612,-4.71718534521492
"2","100017_at","Mybph","53311","myosin binding protein H",0.092577303279108,7.76529887065996,0.347153820409267,0.734195587461808,0.998896937370612,-4.70450357614896
"3","100022_at","Cish","12700","cytokine inducible SH2-containing protein",-0.0129298764063908,8.43405364534645,-0.0807515506950854,0.93690587916265,0.998896937370612,-4.71784630076387
"4","100032_at","Sp1","20683","trans-acting transcription factor 1",-0.0967299150927241,6.853628464496,-0.26748848392495,0.793413972673463,0.998896937370612,-4.71020868133643
"5","100037_at","Ddx18","66942","DEAD (Asp-Glu-Ala-Asp) box polypeptide 18",-0.0992923836113278,5.82371236487202,-0.586566020543366,0.567838018851905,0.998896937370612,-4.67894679009896
"6","100041_at","Slc25a39","68066","solute carrier family 25, member 39",0.322533810360319,8.54038596867597,2.43275273394967,0.0306753014924071,0.998896937370612,-4.22535703535249
"7","100046_at","Mthfd2","17768","methylenetetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase",0.000585709468762907,7.17843003402433,0.00300493050238144,0.997649388710098,0.998896937370612,-4.7186149631995
"8","100048_at","Rap1a","109905","RAS-related protein 1a",-0.189009676465113,6.53785913980476,-0.694564545117843,0.499914073470354,0.998896937370612,-4.66351917389066
"9","100060_i_at","Klk1","16612","kallikrein 1",0.0614035879728219,3.32705405854461,0.369185668629531,0.718108478347412,0.998896937370612,-4.7026730654905
"10","100064_f_at","Gja1","14609","gap junction protein, alpha 1",-0.114636135799197,7.20279542107537,-0.42791913423657,0.675920750829403,0.998896937370612,-4.69726669358423
"11","100068_at","Aldh1a1","11668","aldehyde dehydrogenase family 1, subfamily A1",-0.163053981944055,9.87862852545166,-0.536288638838115,0.601083265319155,0.998896937370612,-4.68532638997273
"12","100073_at","Eef1akmt1","68043","EEF1A alpha lysine methyltransferase 1",0.0515543360669666,6.88177545077065,0.272946376680546,0.789309010598906,0.998896937370612,-4.70986390261987
"13","100079_at","Ndufb9","66218","NADH:ubiquinone oxidoreductase subunit B9",0.059929334827002,11.276365309145,0.263838585289275,0.796162714227252,0.998896937370612,-4.710435439996
"14","100088_at","Ppp1cb","19046","protein phosphatase 1 catalytic subunit beta",-0.13818697565087,9.89743021094536,-0.33912271430754,0.740092923757515,0.998896937370612,-4.70514378788372
"15","100089_at","Ppic","19038","peptidylprolyl isomerase C",0.125798735246811,6.47816256187132,0.552982646960948,0.58993535474591,0.998896937370612,-4.68326604493028
"16","100094_at","Supt5","20924","suppressor of Ty 5, DSIF elongation factor subunit",-0.247439841119325,8.60312443892549,-1.3750713457592,0.193026231621662,0.998896937370612,-4.52158744563615
"17","100112_at","Cxcl12","20315","chemokine (C-X-C motif) ligand 12",0.336268081263311,7.58876284700392,1.95026227350825,0.0737076513880663,0.998896937370612,-4.36439412822764
"18","100120_at","Nid1","18073","nidogen 1",-0.0560325143136033,4.20904486425644,-0.317249282397952,0.756241046367383,0.998896937370612,-4.70681380195734
"19","100123_f_at","Itgb1","16412","integrin beta 1 (fibronectin receptor beta)",-0.256611948949649,11.0745365280283,-1.26191811013025,0.229799022791438,0.998896937370612,-4.54954235097588
"20","100126_at","Chrac1","93696","chromatin accessibility complex 1",-0.182468447757813,9.19271938715003,-0.762811844394908,0.459595112171688,0.998896937370612,-4.65260750918888
"21","100151_at","Serinc3","26943","serine incorporator 3",-0.252635718436814,10.110142832,-1.60451358931965,0.133317679624408,0.998896937370612,-4.46128823727708
"22","100153_at","Ncam1","17967","neural cell adhesion molecule 1",-0.0100561462275426,7.11725282290164,-0.0639924644239886,0.949978563443206,0.998896937370612,-4.7181325613006
"23","100213_f_at","Rpl41","67945","ribosomal protein L41",-0.180873224711357,13.4664613463834,-1.25397135145702,0.23257978870054,0.998896937370612,-4.55145328541689
"24","100293_at","Cd59b","333883","CD59b antigen",0.0947086736219562,6.95036275678901,0.599054497932806,0.559735427541354,0.998896937370612,-4.67728177477319
"25","100302_at","Maff","17133","v-maf musculoaponeurotic fibrosarcoma oncogene family, protein F (avian)",0.0503837145245356,6.29148476184374,0.255315459235894,0.802592493716733,0.998896937370612,-4.71095305916423
"26","100307_at","Nfix","18032","nuclear factor I/X",0.00654940666674353,6.55788672393899,0.0180281912544354,0.985898222463191,0.998896937370612,-4.71857764733861
"27","100320_at","Kpna4","16649","karyopherin (importin) alpha 4",-0.132616844702754,5.45003472755719,-0.821693789787525,0.426500366517643,0.998896937370612,-4.64250479688468
"28","100327_at","Lta","16992","lymphotoxin A",-0.0329270256306602,7.11512394713989,-0.183125767154393,0.857608103389559,0.998896937370612,-4.71466501798004
"29","100329_at","Serpina1c","20702","serine (or cysteine) peptidase inhibitor, clade A, member 1C",0.0958295213819325,5.87594627053674,0.545572715314821,0.59487035664005,0.998896937370612,-4.68418772028133
"30","100331_g_at","Prdx2","21672","peroxiredoxin 2",0.149292248104194,9.98996095458074,1.02215728558869,0.325898810298322,0.998896937370612,-4.60369720849652
"31","100334_f_at","Egfbp2","13647","epidermal growth factor binding protein type B",0.051098997626239,5.87417776887624,0.410116454984663,0.688596242530056,0.998896937370612,-4.69898573297197
"32","100342_i_at","Tuba1a","22142","tubulin, alpha 1A",0.0585173702706232,9.52928347955705,0.31574694081435,0.757354656596119,0.998896937370612,-4.70692453786403
"33","100354_at","Tbx15","21384","T-box 15",-0.0640918727612858,5.56332512855033,-0.306459369322636,0.764251535491845,0.998896937370612,-4.70759776254575
"34","100369_at","St6galnac6","50935","ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6",0.00592959530332138,7.79760619294142,0.0304821215611012,0.976159261459029,0.998896937370612,-4.71850630656139
"35","100394_at","Podxl","27205","podocalyxin-like",0.0987150788507654,6.99725766291454,0.589566090643797,0.565885815405197,0.998896937370612,-4.67854970132141
"36","100395_at","Gli2","14633","GLI-Kruppel family member GLI2",0.0701452466511467,6.246392767924,0.448505689531994,0.661390906254342,0.998896937370612,-4.69519254674302
"37","100400_at","Emc2","66736","ER membrane protein complex subunit 2",-0.231749067133033,6.58234444357557,-0.555196923976005,0.588464767867442,0.998896937370612,-4.68298841506702
"38","100403_at","Myl7","17898","myosin, light polypeptide 7, regulatory",-0.0538912135151941,6.07450949242783,-0.334248031668377,0.743680872922174,0.998896937370612,-4.70552530757449
"39","100436_at","Orm1","18405","orosomucoid 1",0.258618426515711,4.04865567500509,1.58383441669644,0.13795504908264,0.998896937370612,-4.46688870570113
"40","100439_i_at","Ank1","11733","ankyrin 1, erythroid",0.440833922162211,9.26465217104264,2.30858424583315,0.0385959400903492,0.998896937370612,-4.26104323831798
"41","100468_g_at","Lyl1","17095","lymphoblastomic leukemia 1",-0.0755439208459237,6.15560974727838,-0.351976656233743,0.73066253415691,0.998896937370612,-4.7041121589269
"42","100472_at","Enah","13800","ENAH actin regulator",-0.393422578169453,7.11727163078197,-1.52258889763296,0.152514719087412,0.998896937370612,-4.48329998503938
"43","100476_at","Ibsp","15891","integrin binding sialoprotein",0.074860283137272,3.6117215071574,0.456500906850782,0.655785901814296,0.998896937370612,-4.69436220038965
"44","100482_at","Zfp598","213753","zinc finger protein 598",-0.196474588171663,8.50739595027946,-1.52692926885624,0.151441242462706,0.998896937370612,-4.48214602653922
"45","100501_at","Atp4b","11945","ATPase, H+/K+ exchanging, beta polypeptide",0.00258289152199698,6.5768231210484,0.0146092990706078,0.988572274539383,0.998896937370612,-4.71859082448657
"46","100509_at","Rnf19a","30945","ring finger protein 19A",-0.196620352500552,6.70482577881119,-1.30550320587918,0.215017068922913,0.998896937370612,-4.53893561915659
"47","100512_at","Uchl5","56207","ubiquitin carboxyl-terminal esterase L5",-0.32072734955557,6.98624591112642,-2.09798927487468,0.0566389975435068,0.998896937370612,-4.3218742482383
"48","100514_at","Gna13","14674","guanine nucleotide binding protein, alpha 13",-0.120375422877975,6.91361323533565,-0.307548676926405,0.763441522966581,0.998896937370612,-4.70751981480249
"49","100521_at","Ovgp1","12659","oviductal glycoprotein 1",-0.122853124391711,6.30965162938928,-0.806662200387857,0.434797822409903,0.998896937370612,-4.64514292913086
"50","100522_s_at","Tceal9","22381","transcription elongation factor A like 9",-0.102120127786168,7.7377794099097,-0.457498776500125,0.655087866407012,0.998896937370612,-4.69425759572007
"51","100526_f_at","Adam3","11497","a disintegrin and metallopeptidase domain 3 (cyritestin)",0.0418876711329279,4.55136628826026,0.286321671453313,0.779277213939417,0.998896937370612,-4.70899017188836
"52","100527_at","Coa3","52469","cytochrome C oxidase assembly factor 3",-0.0605820725163557,9.19129748745654,-0.310072303065632,0.761566064858245,0.998896937370612,-4.70733819708585
"53","100535_at","Eif4g2","13690","eukaryotic translation initiation factor 4, gamma 2",-0.072410827330522,8.43673684923078,-0.324765276729079,0.750678396058676,0.998896937370612,-4.70625214095808
"54","100538_at","Sod1","20655","superoxide dismutase 1, soluble",-0.113953708380855,10.2289770146583,-0.548732756632618,0.592763185875267,0.998896937370612,-4.68379605635111
"55","100539_at","Acot7","70025","acyl-CoA thioesterase 7",0.325157901607897,7.43666750122203,2.59151530439159,0.0228022202519609,0.998896937370612,-4.18020494602563
"56","100550_f_at","Cox6c","12864","cytochrome c oxidase subunit 6C",0.0843439521524925,12.4154490875907,0.432317545722684,0.672804718487905,0.998896937370612,-4.69683129611341
"57","100555_at","Rcan1","54720","regulator of calcineurin 1",-0.286257752557448,9.79050872872095,-1.42460205588475,0.178525638608603,0.998896937370612,-4.50894570116173
"58","100557_g_at","Eif4b","75705","eukaryotic translation initiation factor 4B",-0.229988812100212,10.1835134001373,-1.20012138940842,0.25213332842516,0.998896937370612,-4.56420728914262
"59","100560_at","Pafah1b1","18472","platelet-activating factor acetylhydrolase, isoform 1b, subunit 1",-0.05621692659596,8.81424437028024,-0.304487936522331,0.765718235087233,0.998896937370612,-4.707738147867
"60","100562_at","Rangrf","57785","RAN guanine nucleotide release factor",0.188834599951766,8.61996542484331,1.45847979555568,0.169140032723605,0.998896937370612,-4.5001703640438
"61","100568_at","Abce1","24015","ATP-binding cassette, sub-family E (OABP), member 1",-0.329314539690509,8.39438173343934,-1.83807325718238,0.0896937579493576,0.998896937370612,-4.39636872646428
"62","100570_at","Nub1","53312","negative regulator of ubiquitin-like proteins 1",-0.0665283130674128,7.61178253669378,-0.53789385516621,0.600006703403269,0.998896937370612,-4.68513079901379
"63","100572_at","Tm9sf2","68059","transmembrane 9 superfamily member 2",-0.152966249226631,7.54934915180409,-0.648750157962185,0.528127438480491,0.998896937370612,-4.67034532975027
"64","100587_f_at","Cdip1","66626","cell death inducing Trp53 target 1",-0.125048929076573,7.20188167197256,-0.65417396976942,0.52474034074436,0.998896937370612,-4.66955857944441
"65","100593_at","Tnnt2","21956","troponin T2, cardiac",-0.076978132734622,5.95793967572261,-0.254346371928461,0.803324526481134,0.998896937370612,-4.7110108568186
"66","100595_at","Ptp4a2","19244","protein tyrosine phosphatase 4a2",-0.0475130560900965,10.9881633421109,-0.176084132729724,0.863021496925183,0.998896937370612,-4.7149623776937
"67","100597_at","Gyg","27357","glycogenin",-0.328226756959511,9.29339426763089,-1.29325132150732,0.219092709034214,0.998896937370612,-4.54193835965331
"68","100603_at","Dync1i2","13427","dynein cytoplasmic 1 intermediate chain 2",-0.0917753096781677,6.43035086688234,-0.351401679728675,0.731083408555163,0.998896937370612,-4.70415909731424
"69","100611_at","Lyz2","17105","lysozyme 2",-0.329947091381793,7.00590369946587,-0.616085418504271,0.548787941896751,0.998896937370612,-4.67496028348392
"70","100614_at","Mb","17189","myoglobin",0.537987221543563,12.5543161145893,2.76466178537919,0.0164552281341276,0.998896937370612,-4.1318468733655
"71","100628_at","Ndufc1","66377","NADH:ubiquinone oxidoreductase subunit C1",0.219150260072144,11.5998844569013,0.933725464447046,0.367964573281147,0.998896937370612,-4.62161964905565
"72","100629_at","Gstm5","14866","glutathione S-transferase, mu 5",-0.192546842876153,9.00331333060029,-0.795140767219276,0.44122803145707,0.998896937370612,-4.64713779931469
"73","100635_at","Sar1a","20224","secretion associated Ras related GTPase 1A",-0.171156240699098,10.2940419203575,-1.33105760128992,0.206713668328952,0.998896937370612,-4.53262101451044
"74","100636_at","Eif4ebp1","13685","eukaryotic translation initiation factor 4E binding protein 1",-0.272905199226924,8.50212499401476,-1.13097556311239,0.27909736538342,0.998896937370612,-4.58005817287298
"75","100673_f_at","Klra5","16636","killer cell lectin-like receptor, subfamily A, member 5",0.0614947223191233,4.92542690335928,0.326506724947208,0.749391595905629,0.998896937370612,-4.70612018328417
"76","100687_f_at","Vmn2r37","22305","vomeronasal 2, receptor 37",-0.0560578996762455,4.69926801558967,-0.26988417959168,0.791611334830249,0.998896937370612,-4.71005818359545
"77","100696_at","Pde6a","225600","phosphodiesterase 6A, cGMP-specific, rod, alpha",0.0800846131952841,6.14753862886379,0.469139128675786,0.646970270145813,0.998896937370612,-4.69302149363006
"78","100700_s_at","Nr5a1","26423","nuclear receptor subfamily 5, group A, member 1",0.0736278429212405,6.34109176246885,0.394178286199614,0.700028249721797,0.998896937370612,-4.70046562980612
"79","100718_at","Ptma","19231","prothymosin alpha",-0.296264660030348,8.57553118545227,-0.571788688388962,0.577506425243179,0.998896937370612,-4.68087589316048
"80","100724_at","Zfp28","22690","zinc finger protein 28",0.0232829304583566,5.18875376426589,0.129621515027326,0.898908697941218,0.998896937370612,-4.71663415844858
"81","100729_at","Gm15772","100034726","ribosomal protein L26 pseudogene",-0.227607886378888,12.0353798713251,-1.02294292044518,0.325541414038472,0.998896937370612,-4.60353262909361
"82","100733_at","Psma2","19166","proteasome (prosome, macropain) subunit, alpha type 2",-0.255542612218735,9.77975411855608,-1.32363157351085,0.209099293642995,0.998896937370612,-4.5344631143979
"83","100758_at","Rps28","54127","ribosomal protein S28",-0.141976259685581,11.7197506488861,-0.934475737506827,0.367592316257893,0.998896937370612,-4.62147275358733
"84","100763_at","D2Ertd127e","51873","DNA segment, Chr 2, ERATO Doi 127, expressed",0.00992274059061415,4.36725030984987,0.0555700989897632,0.95655426943967,0.998896937370612,-4.71825142383345
"85","100776_at","Zfp799","240064","zinc finger protein 799",0.0596131844365537,5.13462333936148,0.354010267106285,0.729174691844632,0.998896937370612,-4.70394555021696
"86","100780_at","Rps4x","20102","ribosomal protein S4, X-linked",-0.151826991139322,11.3283695437601,-0.901083339819324,0.384415310912669,0.998896937370612,-4.62792204958372
"87","100876_at","Fez1","235180","fasciculation and elongation protein zeta 1 (zygin I)",-0.0142388648768135,7.21822238596644,-0.0996556089195014,0.922183126830108,0.998896937370612,-4.71744400950322
"88","100878_at","Strn3","94186","striatin, calmodulin binding protein 3",-0.182834239005189,10.0144748163381,-0.522061854886383,0.610667206665515,0.998896937370612,-4.68703631656944
"89","100880_at","Gbp7","229900","guanylate binding protein 7",-0.146200153809771,6.97785662359625,-0.691993966363505,0.501473022829279,0.998896937370612,-4.66391294558596
"90","100886_f_at","Mrpl45","67036","mitochondrial ribosomal protein L45",0.117379676822611,8.09799667555227,0.909477662759421,0.380137200488013,0.998896937370612,-4.62631796725155
"91","100887_at","Smc6","67241","structural maintenance of chromosomes 6",-0.136338758593177,6.2806263283681,-0.609881603513056,0.552761994940097,0.998896937370612,-4.67581269520484
"92","100894_at","Orc5","26429","origin recognition complex, subunit 5",-0.105824175408222,6.60923627913079,-0.588429541788449,0.566624963920904,0.998896937370612,-4.67870035037747
"93","100896_at","Cacng1","12299","calcium channel, voltage-dependent, gamma subunit 1",-0.207925703417077,10.6638158301334,-1.06060146714391,0.308744731361811,0.998896937370612,-4.59553742403721
"94","100914_at","Gm2889","100040658","predicted gene 2889",0.0325444039839962,9.00249564441442,0.148340075891691,0.884417987034394,0.998896937370612,-4.71602137825946
"95","100920_at","Gm15987","100504591","predicted gene 15987",-0.112634069413462,5.63842146058642,-0.541882679585731,0.597335788144587,0.998896937370612,-4.68464244485076
"96","100921_at","Tnni3","21954","troponin I, cardiac 3",0.10049867404945,6.94713576606123,0.464053103706492,0.650511378515445,0.998896937370612,-4.6935651762492
"97","100923_at","Myo10","17909","myosin X",0.0926961534387702,7.29936962612518,0.527993571068494,0.606662022640271,0.998896937370612,-4.68632853549397
